recipe_id,recipe_name,Serving Unit
214,Puttu,pieces
215,Scrambled egg,egg white
216,Soya Uttapam,pieces
217,Whole wheat toast,pieces
218,,-
219,Adai dosa,pieces
220,Avial curry,bowl
221,Beans & carrot palya/ poriyal,small bowl
222,Beetroot paly/poriyal,small bowl
223,"Besan & oats cheela (spinach, carrot & onions)",pieces
224,Besan kadhi (no pakoda),small bowl
225,Boiled Rajma Chat,small bowl
226,Bottle gourd palya/ poriyal,small bowl
227,Capsicum vegetable,small bowl
228,Chicken Biryani,small bowl
229,Chicken Stew,bowl
230,Chole Dal,bowl
231,"Cinnamon, ginger with hot water",glass
232,Cucumber and onion salad,small bowl
233,Egg Curry,small bowl
234,Finger millet (ragi) idli,pieces
235,Finger millet chapati,pieces
236,Gatte ki Sabji,small bowl
237,Gourd palya/poriyal,small bowl
238,Green gram whole dal,small bowl
239,Grilled surmai,pieces
240,Lemon rice,small bowl
241,Masala omelette,pieces
242,Medium Oats uttapam,pieces
243,Mix vegetable subzi,bowl
244,"Moong dal cheela with paneer, carrot 
& coriander stuffing",pieces
245,Moong Dal Dosaa/ Pessarttu,pieces
246,Moongdal vegetable pongal,bowl
247,Multi-grain/whole-wheat Toast,pieces
248,Mushroom & green capsicum vegetable,small bowl
249,Oats and vegetable upma,small bowl
250,Oats vegetable upma,small bowl
251,onion & tomato chutney,tbsp
252,"Paneer, cucumber, tomato & coriander chutney sandwich 
(whole wheat bread)",pieces
253,Paneer/ Tofu Curry,bowl
254,Parval Vegetable,small bowl
255,Pepper rasam,small bowl
256,Plain dosa,pieces
257,Pumpkin seeds,tsp
258,Ragi Idli,pieces
259,Red lentil dal,small bowl
260,Red lentils and spinach daal,small bowl
261,Scrambled egg white,egg white
262,"Scrambled egg with 2 egg white (masala bhurji onion, capsicum)",small bowl
263,Scrambled Paneer(Paneer Bhurji) with onion capsicum,bowl
264,Soya chunks and capsicum curry,small bowl
265,Soya chunks pulao,small bowl
266,Tamarind rice(Brown rice),small bowl
267,Tea with toned milk(No sugar),cup
268,Tomato Fish Curry,small bowl
269,Vegetable vermicilli Upma,small bowl
270,Chickpea Sprouts,bowl
271,Flax seeds,tsp
272,Hard Boiled Egg White,egg white
273,Kiwi,whole fruit
274,Lemon,glass
275,Milk,glass
276,Mushroom,small bowl
277,Radish,small bowl
278,Chickpeas,small bowl
279,Peas,small bowl
280,,-
281,Moong Dal Vegetable Khichri,small bowl
282,Moong Dal+Suji mix cheela,pieces
283,Oats idli,pieces
284,Omelet with spinach & mushroom -2 egg white,pieces
285,"Onion, tomato utthapam",pieces
286,Palak Chicken,bowl
287,Paneer & peas curry,small bowl
288,Paneer and capsicum curry,small bowl
289,Paneer capsicum burji,small bowl
290,Paniyaram,pieces
291,Pumpkin Sabji,small bowl
292,Sautee Paneer Pcs,small bowl
293,Spinach & chicken curry,small bowl
294,Spinach & mushroom omlette,egg white
295,Sprouted moong salad,small bowl
296,Tamarind rice,small bowl
297,Tomatto Chutney,small bowl
298,"Veg pongal(1/2 tsp oil, no ghee)",small bowl
299,Vegetable Daliya,bowl
300,Vegetable Paneer Salad,bowl
301,Vegetable stew (less oil & coconut milk lots of vegetables),small bowl
302,Wheat or muti-grain toast,pieces
303,Multigrain Roti,Roti/Chapati
304,Plain Buttermilk,glass
305,Carrot Beetroot Salad,small bowl
306,Veg Pulao,small bowl
307,Chickpea curry,small bowl
308,Mix Dal,small bowl
309,Red lentils & spinach,small bowl
310,Quinoa,small bowl
311,Oats masala uthappam,pieces
312,Paneer capsicum vegetables,small bowl
313,Sprouts & paneer salad,bowl
314,Muesli with nuts,bowl
315,Paneer Tikka,small bowl
316,Ridge gourd vegetable,small bowl
317,Oats upma with vegetables,small bowl
319,Beetroot salad,small bowl
320,Dry Payar Curry,small bowl
321,oat chia seed porridge,bowl
322,Lauki Paneer,small bowl
323,Steamed Rice,small bowl
324,Peanut Chat,small bowl
325,Methi Paratha,pieces
326,whole wheat paneer tikka wrap,pieces
327,Muesli with milk and almonds,bowl
328,Cinnamon Water,glass
329,Whole Grain Wheat Flakes,pieces
330,Peanut chutney,small bowl
331,Peanuts,small bowl
332,puffed rice/ sukhe bhel,small bowl
333,Paneer,small bowl
334,Spinach walnut salad,bowl
335,Chia seeds,tbsp
336,Olive Oil,-
337,Ajwain & tulsi water,glass
338,bhinda ni sabzi,small bowl
